,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
1,Aarhus,2,Valid,H6,720.0,Fell,1951.0,56.18333,10.23333,"(56.183330, 10.233330)"
2,Abee,6,Valid,EH4,107000.0,Fell,1952.0,54.21667,-113.0,"(54.216670, -113.000000)"
3,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976.0,16.88333,-99.9,"(16.883330, -99.900000)"
4,Achiras,370,Valid,L6,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.166670, -64.950000)"
5,Adhi Kot,379,Valid,EH4,4239.0,Fell,1919.0,32.1,71.8,"(32.100000, 71.800000)"
6,Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
7,Agen,392,Valid,H5,30000.0,Fell,1814.0,44.21667,0.61667,"(44.216670, 0.616670)"
8,Aguada,398,Valid,L6,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.600000, -65.233330)"
9,Aguila Blanca,417,Valid,L,1440.0,Fell,1920.0,-30.86667,-64.55,"(-30.866670, -64.550000)"
10,Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,1974.0,16.39806,-9.57028,"(16.398060, -9.570280)"
11,Aïr,424,Valid,L6,24000.0,Fell,1925.0,19.08333,8.38333,"(19.083330, 8.383330)"
13,Akaba,426,Valid,L6,779.0,Fell,1949.0,29.51667,35.05,"(29.516670, 35.050000)"
14,Akbarpur,427,Valid,H4,1800.0,Fell,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
15,Akwanga,432,Valid,H,3000.0,Fell,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
16,Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
18,Al Zarnkh,447,Valid,LL5,700.0,Fell,2001.0,13.66033,28.96,"(13.660330, 28.960000)"
19,Alais,448,Valid,CI1,6000.0,Fell,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
20,Albareto,453,Valid,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
21,Alberta,454,Valid,L,625.0,Fell,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
23,Aldsworth,461,Valid,LL5,700.0,Fell,1835.0,51.78333,-1.78333,"(51.783330, -1.783330)"
24,Aleppo,462,Valid,L6,3200.0,Fell,1873.0,36.23333,37.13333,"(36.233330, 37.133330)"
25,Alessandria,463,Valid,H5,908.0,Fell,1860.0,44.88333,8.75,"(44.883330, 8.750000)"
26,Alexandrovsky,465,Valid,H4,9251.0,Fell,1900.0,50.95,31.81667,"(50.950000, 31.816670)"
27,Alfianello,466,Valid,L6,228000.0,Fell,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
28,Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
29,Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
30,Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
31,Alta'ameem,2284,Valid,LL5,6000.0,Fell,1977.0,35.27333,44.21556,"(35.273330, 44.215560)"
32,Ambapur Nagla,2290,Valid,H5,6400.0,Fell,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
33,Andhara,2294,Valid,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
34,Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
35,Andreevka,2296,Valid,L3,600.0,Fell,1969.0,48.7,37.5,"(48.700000, 37.500000)"
36,Andura,2298,Valid,H6,17900.0,Fell,1939.0,20.88333,76.86667,"(20.883330, 76.866670)"
39,Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
40,Ankober,2304,Valid,H4,6500.0,Fell,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
41,Anlong,2305,Valid,H5,2500.0,Fell,1971.0,25.15,105.18333,"(25.150000, 105.183330)"
43,Appley Bridge,2318,Valid,LL6,15000.0,Fell,1914.0,53.58333,-2.71667,"(53.583330, -2.716670)"
44,Apt,2320,Valid,L6,3200.0,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
45,Arbol Solo,2325,Valid,H5,810.0,Fell,1954.0,-33.0,-66.0,"(-33.000000, -66.000000)"
46,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.500000, -94.300000)"
47,Arroyo Aguiar,2340,Valid,H5,7450.0,Fell,1950.0,-31.41667,-60.66667,"(-31.416670, -60.666670)"
49,Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805000, -97.010000)"
50,Ashdon,2346,Valid,L6,1300.0,Fell,1923.0,52.05,0.3,"(52.050000, 0.300000)"
51,Assisi,2353,Valid,H5,2000.0,Fell,1886.0,43.03333,12.55,"(43.033330, 12.550000)"
52,Atarra,4883,Valid,L4,1280.0,Fell,1920.0,25.25417,80.625,"(25.254170, 80.625000)"
55,Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.316670, -96.150000)"
56,Aubres,4893,Valid,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,"(44.383330, 5.166670)"
57,Aumale,4899,Valid,L6,50000.0,Fell,1865.0,36.16667,3.66667,"(36.166670, 3.666670)"
58,Aumieres,4900,Valid,L6,2000.0,Fell,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
59,Ausson,4903,Valid,L5,50000.0,Fell,1858.0,43.08333,0.58333,"(43.083330, 0.583330)"
60,Avanhandava,4905,Valid,H4,9330.0,Fell,1952.0,-21.46028,-49.95083,"(-21.460280, -49.950830)"
61,Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,"(46.000000, 13.500000)"
64,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.800000, -108.000000)"
65,Bachmut,4917,Valid,L6,18000.0,Fell,1814.0,48.6,38.0,"(48.600000, 38.000000)"
66,Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,"(28.483330, 78.500000)"
67,Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)"
69,Bali,4928,Valid,CV3,1000.0,Fell,1907.0,5.38333,16.38333,"(5.383330, 16.383330)"
70,Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,Fell,1993.0,16.66667,101.18333,"(16.666670, 101.183330)"
71,Bandong,4935,Valid,LL6,11500.0,Fell,1871.0,-6.91667,107.6,"(-6.916670, 107.600000)"
72,Bansur,4936,Valid,L6,15000.0,Fell,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
74,Banten,4938,Valid,CM2,629.0,Fell,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
75,Barbotan,4942,Valid,H5,6400.0,Fell,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
77,Barea,4946,Valid,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
80,Baroti,4949,Valid,L6,4500.0,Fell,1910.0,31.61667,76.8,"(31.616670, 76.800000)"
81,Barwell,4954,Valid,L5,44000.0,Fell,1965.0,52.56528,-1.33972,"(52.565280, -1.339720)"
82,Bassikounou,44876,Valid,H5,29560.0,Fell,2006.0,15.78333,-5.9,"(15.783330, -5.900000)"
83,Baszkówka,4957,Valid,L5,15500.0,Fell,1994.0,52.03333,20.93583,"(52.033330, 20.935830)"
84,Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)"
85,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.250000, -83.750000)"
86,Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)"
87,Bawku,4976,Valid,LL5,1557.0,Fell,1989.0,11.08333,-0.18333,"(11.083330, -0.183330)"
88,Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.750000, -93.500000)"
89,Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
90,Beaver Creek,4986,Valid,H5,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.166670, -117.333330)"
91,Beddgelert,4993,Valid,H5,794.0,Fell,1949.0,53.01667,-4.1,"(53.016670, -4.100000)"
94,Benares (a),5011,Valid,LL4,3700.0,Fell,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
95,Benguerir,30443,Valid,LL6,25000.0,Fell,2004.0,32.25,-8.15,"(32.250000, -8.150000)"
96,Beni M'hira,5018,Valid,L6,19000.0,Fell,2001.0,32.86667,10.8,"(32.866670, 10.800000)"
97,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.083330, -89.150000)"
98,Benoni,5023,Valid,H6,3880.0,Fell,1943.0,-26.16667,28.41667,"(-26.166670, 28.416670)"
99,Bensour,5024,Valid,LL6,45000.0,Fell,2002.0,30.0,-7.0,"(30.000000, -7.000000)"
100,Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.950000, -67.550000)"
102,Béréba,5028,Valid,Eucrite-mmict,18000.0,Fell,1924.0,11.65,-3.65,"(11.650000, -3.650000)"
103,Berlanguillas,5029,Valid,L6,1440.0,Fell,1811.0,41.68333,-3.8,"(41.683330, -3.800000)"
104,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)"
106,Beuste,5034,Valid,L5,2000.0,Fell,1859.0,43.21667,-0.23333,"(43.216670, -0.233330)"
107,Beyrout,5035,Valid,LL3.8,1100.0,Fell,1921.0,33.88333,35.5,"(33.883330, 35.500000)"
109,Bhawad,36591,Valid,LL6,678.0,Fell,2002.0,26.50833,73.11528,"(26.508330, 73.115280)"
111,Bhola,5040,Valid,LL3-6,1047.0,Fell,1940.0,22.68333,90.65,"(22.683330, 90.650000)"
112,Bholghati,5041,Valid,Howardite,2500.0,Fell,1905.0,22.08333,86.9,"(22.083330, 86.900000)"
113,Bialystok,5042,Valid,Eucrite-pmict,4000.0,Fell,1827.0,53.1,23.2,"(53.100000, 23.200000)"
114,Bielokrynitschie,5043,Valid,H4,1900.0,Fell,1887.0,50.13333,27.16667,"(50.133330, 27.166670)"
115,Bilanga,5045,Valid,Diogenite,25000.0,Fell,1999.0,12.45,-0.08333,"(12.450000, -0.083330)"
117,Birni N'konni,5056,Valid,H4,560.0,Fell,1923.0,13.76667,5.3,"(13.766670, 5.300000)"
118,Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.166670, -80.283330)"
119,Bishunpur,5060,Valid,LL3.15,1039.0,Fell,1895.0,25.38333,82.6,"(25.383330, 82.600000)"
120,Bjelaja Zerkov,5063,Valid,H6,1850.0,Fell,1796.0,49.78333,30.16667,"(49.783330, 30.166670)"
121,Bjurböle,5064,Valid,L/LL4,330000.0,Fell,1899.0,60.4,25.8,"(60.400000, 25.800000)"
122,Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.916670, -78.083330)"
123,Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.833330, -97.333330)"
124,Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.833330, -98.833330)"
127,Bo Xian,5090,Valid,LL3.9,7500.0,Fell,1977.0,33.83333,115.83333,"(33.833330, 115.833330)"
129,Bogou,5097,Valid,"Iron, IAB-MG",8800.0,Fell,1962.0,12.5,0.7,"(12.500000, 0.700000)"
130,Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
131,Borgo San Donino,5110,Valid,LL6,1676.0,Fell,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
132,Bori,5111,Valid,L6,8600.0,Fell,1894.0,21.95,78.03333,"(21.950000, 78.033330)"
133,Boriskino,5112,Valid,CM2,1342.0,Fell,1930.0,54.23333,52.48333,"(54.233330, 52.483330)"
134,Borkut,5113,Valid,L5,7000.0,Fell,1852.0,48.15,24.28333,"(48.150000, 24.283330)"
136,Botschetschki,5117,Valid,L4,614.0,Fell,1823.0,51.33333,33.88333,"(51.333330, 33.883330)"
138,Boumdeid (2011),57167,Valid,L6,3599.0,Fell,2011.0,17.17493,-11.34133,"(17.174930, -11.341330)"
139,Bovedy,5121,Valid,L3,5460.0,Fell,1969.0,54.56667,-6.33333,"(54.566670, -6.333330)"
140,Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.500000, -80.083330)"
141,Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847.0,50.6,16.3,"(50.600000, 16.300000)"
142,Breitscheid,5134,Valid,H5,1500.0,Fell,1956.0,50.66694,8.18361,"(50.666940, 8.183610)"
143,Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.400000, 9.100000)"
145,Bruderheim,5156,Valid,L6,303000.0,Fell,1960.0,53.9,-112.88333,"(53.900000, -112.883330)"
146,Bukhara,30448,Valid,CV3,5300.0,Fell,2001.0,39.77978,64.60035,"(39.779780, 64.600350)"
147,Bulls Run,5163,Valid,Iron?,2250.0,Fell,1964.0,,,
150,Bur-Gheluai,5169,Valid,H5,120000.0,Fell,1919.0,5.0,48.0,"(5.000000, 48.000000)"
151,Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.621940, -82.237220)"
152,Bursa,5177,Valid,L6,25000.0,Fell,1946.0,40.2,29.23333,"(40.200000, 29.233330)"
153,Buschhof,5178,Valid,L6,5000.0,Fell,1863.0,46.45,25.78333,"(46.450000, 25.783330)"
154,Bustee,5181,Valid,Aubrite,1500.0,Fell,1852.0,26.78333,82.83333,"(26.783330, 82.833330)"
155,Butsura,5183,Valid,H6,29000.0,Fell,1861.0,27.08333,84.08333,"(27.083330, 84.083330)"
156,Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008.0,52.996,-109.84817,"(52.996000, -109.848170)"
157,Cabezo de Mayo,5185,Valid,L/LL6,25000.0,Fell,1870.0,37.98333,-1.16667,"(37.983330, -1.166670)"
158,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.500000, -93.500000)"
161,Calivo,5200,Valid,Stone-uncl,2400.0,Fell,1916.0,11.75,122.33333,"(11.750000, 122.333330)"
162,Campos Sales,5249,Valid,L5,23680.0,Fell,1991.0,-7.03333,-40.16667,"(-7.033330, -40.166670)"
163,Çanakkale,5250,Valid,L6,4000.0,Fell,1964.0,39.8,26.6,"(39.800000, 26.600000)"
164,Cañellas,5251,Valid,H4,945.0,Fell,1861.0,41.25,1.66667,"(41.250000, 1.666670)"
165,Cangas de Onis,5252,Valid,H5,34000.0,Fell,1866.0,43.38333,-5.15,"(43.383330, -5.150000)"
166,Canon City,5253,Valid,H6,1400.0,Fell,1973.0,38.47028,-105.24139,"(38.470280, -105.241390)"
167,Cape Girardeau,5260,Valid,H6,2300.0,Fell,1846.0,37.26667,-89.58333,"(37.266670, -89.583330)"
168,Capilla del Monte,5264,Valid,H6,750.0,Fell,1934.0,-30.88333,-64.55,"(-30.883330, -64.550000)"
171,Castalia,5291,Valid,H5,7300.0,Fell,1874.0,36.08333,-78.06667,"(36.083330, -78.066670)"
174,Castrovillari,5295,Valid,Stone-uncl,15000.0,Fell,1583.0,39.8,16.2,"(39.800000, 16.200000)"
175,Caswell County,5296,Valid,OC,1360.0,Fell,1810.0,36.5,-79.25,"(36.500000, -79.250000)"
176,Ceniceros,5306,Valid,L3.7,1025.0,Fell,1988.0,26.46667,-105.23333,"(26.466670, -105.233330)"
178,Cereseto,5308,Valid,H5,6460.0,Fell,1840.0,45.08333,8.3,"(45.083330, 8.300000)"
179,Chadong,5313,Valid,L6,3700.0,Fell,1998.0,28.53333,109.31667,"(28.533330, 109.316670)"
181,Chainpur,5315,Valid,LL3.4,8200.0,Fell,1907.0,25.85,83.48333,"(25.850000, 83.483330)"
182,Chajari,5316,Valid,L5,18300.0,Fell,1933.0,-30.78333,-58.05,"(-30.783330, -58.050000)"
183,Chandakapur,5320,Valid,L5,8800.0,Fell,1838.0,20.26667,76.01667,"(20.266670, 76.016670)"
184,Chandpur,5321,Valid,L6,1100.0,Fell,1885.0,27.28333,79.05,"(27.283330, 79.050000)"
185,Changde,5322,Valid,H5,1810.0,Fell,1977.0,29.08333,111.75,"(29.083330, 111.750000)"
186,Chantonnay,5325,Valid,L6,31500.0,Fell,1812.0,46.68333,1.05,"(46.683330, 1.050000)"
187,Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,1835.0,36.16667,-87.33333,"(36.166670, -87.333330)"
188,Charsonville,5329,Valid,H6,27000.0,Fell,1810.0,47.93333,1.56667,"(47.933330, 1.566670)"
189,Charwallas,5330,Valid,H6,12000.0,Fell,1834.0,29.48333,75.5,"(29.483330, 75.500000)"
190,Chassigny,5331,Valid,Martian (chassignite),4000.0,Fell,1815.0,47.71667,5.36667,"(47.716670, 5.366670)"
191,Château-Renard,5332,Valid,L6,30000.0,Fell,1841.0,47.93333,2.91667,"(47.933330, 2.916670)"
192,Chaves,5334,Valid,Howardite,2945.0,Fell,1925.0,41.93333,-7.46667,"(41.933330, -7.466670)"
193,Chela,5338,Valid,H4,2936.0,Fell,1988.0,-3.66667,32.5,"(-3.666670, 32.500000)"
194,Chelyabinsk,57165,Valid,LL5,100000.0,Fell,2013.0,54.81667,61.11667,"(54.816670, 61.116670)"
195,Chergach ,47347,Valid,H5,100000.0,Fell,2007.0,23.69639,-5.01472,"(23.696390, -5.014720)"
196,Chernyi Bor,5339,Valid,H4,6000.0,Fell,1964.0,53.7,30.1,"(53.700000, 30.100000)"
197,Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,"(35.033330, -81.883330)"
198,Chervettaz,5341,Valid,L5,705.0,Fell,1901.0,46.55,6.81667,"(46.550000, 6.816670)"
199,Chervony Kut,5342,Valid,Eucrite-mmict,1700.0,Fell,1939.0,50.83333,34.0,"(50.833330, 34.000000)"
203,Chisenga,5355,Valid,"Iron, IIIAB",3920.0,Fell,1988.0,-10.05944,33.395,"(-10.059440, 33.395000)"
205,Chitenay,5357,Valid,L6,4000.0,Fell,1978.0,47.47083,0.97667,"(47.470830, 0.976670)"
206,Cilimus,5364,Valid,L5,1600.0,Fell,1979.0,-6.95,108.1,"(-6.950000, 108.100000)"
207,Claxton,5374,Valid,L6,1455.0,Fell,1984.0,32.1025,-81.87278,"(32.102500, -81.872780)"
209,Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,"(44.900000, -90.283330)"
210,Cold Bokkeveld,5397,Valid,CM2,5200.0,Fell,1838.0,-33.13333,19.38333,"(-33.133330, 19.383330)"
212,Collescipoli,5403,Valid,H5,5000.0,Fell,1890.0,42.53333,12.61667,"(42.533330, 12.616670)"
213,Conquista,5418,Valid,H4,20350.0,Fell,1965.0,-19.85,-47.55,"(-19.850000, -47.550000)"
214,Cosina,5451,Valid,H5,1200.0,Fell,1844.0,21.16667,-100.86667,"(21.166670, -100.866670)"
215,Cranganore,5465,Valid,L6,1460.0,Fell,1917.0,10.2,76.26667,"(10.200000, 76.266670)"
217,Cronstad,5474,Valid,H5,3650.0,Fell,1877.0,-27.7,27.3,"(-27.700000, 27.300000)"
219,Crumlin,5477,Valid,L5,4255.0,Fell,1902.0,54.61667,-6.21667,"(54.616670, -6.216670)"
220,Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,"(36.833330, -84.350000)"
221,Cynthiana,5500,Valid,L/LL4,6000.0,Fell,1877.0,38.4,-84.25,"(38.400000, -84.250000)"
222,Dahmani,5504,Valid,LL6,18000.0,Fell,1981.0,35.61667,8.83333,"(35.616670, 8.833330)"
223,Dandapur,5511,Valid,L6,5650.0,Fell,1878.0,26.91667,83.96667,"(26.916670, 83.966670)"
224,Daniel's Kuil,5513,Valid,EL6,1064.0,Fell,1868.0,-28.2,24.56667,"(-28.200000, 24.566670)"
225,Danville,5514,Valid,L6,2000.0,Fell,1868.0,34.4,-87.06667,"(34.400000, -87.066670)"
227,Dashoguz,6604,Valid,H5,7000.0,Fell,1998.0,41.98444,59.685,"(41.984440, 59.685000)"
228,Daule,51559,Valid,L5,6580.0,Fell,2008.0,-1.87089,-79.95756,"(-1.870890, -79.957560)"
232,Demina,6649,Valid,L6,16400.0,Fell,1911.0,51.46667,84.76667,"(51.466670, 84.766670)"
234,Dergaon,6664,Valid,H5,12500.0,Fell,2001.0,26.68333,93.86667,"(26.683330, 93.866670)"
235,Desuri,6693,Valid,H6,25400.0,Fell,1962.0,25.73333,73.61667,"(25.733330, 73.616670)"
236,Devgaon,6694,Valid,H3.8,12000.0,Fell,2001.0,19.0,81.0,"(19.000000, 81.000000)"
237,Devri-Khera,6696,Valid,L6,1140.0,Fell,1994.0,24.225,76.525,"(24.225000, 76.525000)"
238,Dhajala,6698,Valid,H3.8,45000.0,Fell,1976.0,22.37778,71.42722,"(22.377780, 71.427220)"
239,Dharwar,6699,Valid,OC,1800.0,Fell,1848.0,14.88333,75.6,"(14.883330, 75.600000)"
240,Dhurmsala,7640,Valid,LL6,32000.0,Fell,1860.0,32.23333,76.46667,"(32.233330, 76.466670)"
241,Didim,47350,Valid,H3-5,3396.0,Fell,2007.0,37.35172,27.32997,"(37.351720, 27.329970)"
242,Diep River,7642,Valid,L6,1000.0,Fell,1906.0,-33.75,18.56667,"(-33.750000, 18.566670)"
244,Djati-Pengilon,7652,Valid,H6,166000.0,Fell,1884.0,-7.5,111.5,"(-7.500000, 111.500000)"
245,Djermaia,7656,Valid,H,3950.0,Fell,1961.0,12.73333,15.05,"(12.733330, 15.050000)"
246,Djoumine,7657,Valid,H5-6,10000.0,Fell,1999.0,36.95,9.55,"(36.950000, 9.550000)"
247,Dokachi,7658,Valid,H5,3840.0,Fell,1903.0,23.5,90.33333,"(23.500000, 90.333330)"
248,Dolgovoli,7659,Valid,L6,1600.0,Fell,1864.0,50.75,25.3,"(50.750000, 25.300000)"
250,Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800.0,Fell,1995.0,45.5,119.03333,"(45.500000, 119.033330)"
252,Dongtai,7708,Valid,LL6,5500.0,Fell,1970.0,32.91667,120.78333,"(32.916670, 120.783330)"
253,Doroninsk,7718,Valid,H5-7,3891.0,Fell,1805.0,51.2,112.3,"(51.200000, 112.300000)"
254,Dosso,7722,Valid,L6,1250.0,Fell,1962.0,13.05,3.16667,"(13.050000, 3.166670)"
255,Douar Mghila,7723,Valid,LL6,1161.0,Fell,1932.0,32.33333,-6.3,"(32.333330, -6.300000)"
256,Dowa,7725,Valid,Stone-uncl,642.0,Fell,1976.0,-13.66667,33.91667,"(-13.666670, 33.916670)"
257,Drake Creek,7728,Valid,L6,5000.0,Fell,1827.0,36.4,-86.5,"(36.400000, -86.500000)"
258,Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,"(42.520000, -82.260000)"
259,Dubrovnik,7736,Valid,L3-6,1900.0,Fell,1951.0,42.45833,18.44167,"(42.458330, 18.441670)"
261,Dundrum,7745,Valid,H5,2270.0,Fell,1865.0,52.55,-8.03333,"(52.550000, -8.033330)"
263,Durala,7750,Valid,L6,13200.0,Fell,1815.0,30.3,76.63333,"(30.300000, 76.633330)"
264,Duruma,7752,Valid,L6,577.0,Fell,1853.0,-4.0,39.5,"(-4.000000, 39.500000)"
265,Duwun,7754,Valid,L6,2117.0,Fell,1943.0,33.43333,127.26667,"(33.433330, 127.266670)"
266,Dwaleni,7755,Valid,H4-6,3230.0,Fell,1970.0,-27.2,31.31667,"(-27.200000, 31.316670)"
269,Eagle,7760,Valid,EL6,10000.0,Fell,1947.0,40.78167,-96.47167,"(40.781670, -96.471670)"
270,Ehole,7774,Valid,H5,2400.0,Fell,1961.0,-17.3,15.83333,"(-17.300000, 15.833330)"
271,Eichstädt,7775,Valid,H5,3000.0,Fell,1785.0,48.9,11.21667,"(48.900000, 11.216670)"
272,Ekeby,7776,Valid,H4,3336.0,Fell,1939.0,56.03333,13.0,"(56.033330, 13.000000)"
273,Ekh Khera,7777,Valid,H6,840.0,Fell,1916.0,28.26667,78.78333,"(28.266670, 78.783330)"
274,El Idrissia,7807,Valid,L6,10000.0,Fell,1989.0,34.41667,3.25,"(34.416670, 3.250000)"
275,El Paso de Aguila,45977,Valid,H5,17226.0,Fell,1977.0,25.37,-97.37,"(25.370000, -97.370000)"
276,El Tigre,7819,Valid,L6,5000.0,Fell,1993.0,19.96722,-103.05167,"(19.967220, -103.051670)"
277,Elbert,7822,Valid,LL6,680.5,Fell,1998.0,39.24667,-104.58817,"(39.246670, -104.588170)"
278,Elbogen,7823,Valid,"Iron, IID",107000.0,Fell,1399.0,50.18333,12.73333,"(50.183330, 12.733330)"
279,Elenovka,7824,Valid,L5,54640.0,Fell,1951.0,47.83333,37.66667,"(47.833330, 37.666670)"
280,Ellemeet,10019,Valid,Diogenite,1470.0,Fell,1925.0,51.75,4.0,"(51.750000, 4.000000)"
282,Enshi,10038,Valid,H5,8000.0,Fell,1974.0,30.3,109.5,"(30.300000, 109.500000)"
283,Ensisheim,10039,Valid,LL6,127000.0,Fell,1491.0,47.86667,7.35,"(47.866670, 7.350000)"
287,Ergheo,10044,Valid,L5,20000.0,Fell,1889.0,1.16667,44.16667,"(1.166670, 44.166670)"
288,Erxleben,10049,Valid,H6,2250.0,Fell,1812.0,52.21667,11.25,"(52.216670, 11.250000)"
289,Esnandes,10051,Valid,L6,1500.0,Fell,1837.0,46.25,-1.1,"(46.250000, -1.100000)"
291,Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,Fell,1879.0,43.41667,-94.83333,"(43.416670, -94.833330)"
292,Farmington,10074,Valid,L5,89400.0,Fell,1890.0,39.75,-97.03333,"(39.750000, -97.033330)"
293,Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,"(35.550000, -77.533330)"
294,Favars,10078,Valid,H5,1500.0,Fell,1844.0,44.38333,2.81667,"(44.383330, 2.816670)"
295,Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,"(36.050000, -94.166670)"
297,Felix,10081,Valid,CO3.3,3200.0,Fell,1900.0,32.53333,-87.16667,"(32.533330, -87.166670)"
300,Fermo,10091,Valid,H3-5,10200.0,Fell,1996.0,43.18111,13.75333,"(43.181110, 13.753330)"
301,Fisher,10107,Valid,L6,17600.0,Fell,1894.0,47.81667,-96.85,"(47.816670, -96.850000)"
302,Florence,10111,Valid,H3,3640.0,Fell,1922.0,30.83333,-97.76667,"(30.833330, -97.766670)"
303,Forest City,10119,Valid,H5,152000.0,Fell,1890.0,43.25,-93.66667,"(43.250000, -93.666670)"
304,Forest Vale,10120,Valid,H4,26000.0,Fell,1942.0,-33.35,146.85833,"(-33.350000, 146.858330)"
305,Forksville,10123,Valid,L6,6067.0,Fell,1924.0,36.78333,-78.08333,"(36.783330, -78.083330)"
307,Forsyth,10164,Valid,L6,16300.0,Fell,1829.0,33.01667,-83.96667,"(33.016670, -83.966670)"
309,Frankfort (stone),10177,Valid,Howardite,650.0,Fell,1868.0,34.48333,-87.83333,"(34.483330, -87.833330)"
