,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
26148,Moapa Valley,48952,Valid,CM1,698.8,Found,2004.0,36.55722,-114.42694,"(36.557220, -114.426940)"
26149,Moctezuma,16710,Valid,"Iron, IAB-sLL",1700.0,Found,1889.0,29.8,-109.66667,"(29.800000, -109.666670)"
26150,Modoc (1948),16712,Valid,H6,1800.0,Found,1948.0,38.5,-101.1,"(38.500000, -101.100000)"
26151,Mohawk,34059,Valid,"Iron, IAB complex",586.0,Found,2000.0,32.73,-113.71,"(32.730000, -113.710000)"
26152,Mokrousovo,16714,Valid,L/LL4/5,789.2,Found,1968.0,55.9,66.7,"(55.900000, 66.700000)"
26153,Molong,16716,Valid,"Pallasite, PMG",104000.0,Found,1912.0,-33.28333,148.88333,"(-33.283330, 148.883330)"
26154,Monahans (1938),16718,Valid,"Iron, IIF",27900.0,Found,1938.0,31.48333,-102.88333,"(31.483330, -102.883330)"
26155,Mont Dieu,16722,Valid,"Iron, ungrouped",360000.0,Found,1994.0,49.55,4.86667,"(49.550000, 4.866670)"
26158,Monturaqui,16731,Valid,"Iron, IAB?",2000.0,Found,1965.0,-23.93333,-68.28333,"(-23.933330, -68.283330)"
26159,Monument Draw,16732,Valid,Acapulcoite,524.5,Found,1985.0,32.50333,-102.74333,"(32.503330, -102.743330)"
26160,Moonbi,16734,Valid,"Iron, IIIF",13200.0,Found,1892.0,-30.91667,151.28333,"(-30.916670, 151.283330)"
26161,Moorabie,16735,Valid,L3.8-an,14040.0,Found,1965.0,-30.01667,141.06667,"(-30.016670, 141.066670)"
26162,Moorumbunna,16739,Valid,"Iron, IIIAB",77000.0,Found,1943.0,-28.91667,136.25,"(-28.916670, 136.250000)"
26163,Morasko,16741,Valid,"Iron, IAB-MG",290000.0,Found,1914.0,52.46667,16.9,"(52.466670, 16.900000)"
26164,Morden,16743,Valid,"Iron, IAB?",2426.0,Found,1922.0,-30.5,142.33333,"(-30.500000, 142.333330)"
26166,Morito,16745,Valid,"Iron, IIIAB",10100000.0,Found,1600.0,27.05,-105.43333,"(27.050000, -105.433330)"
26167,Morland,16746,Valid,H6,295000.0,Found,1890.0,39.33333,-100.06667,"(39.333330, -100.066670)"
26168,Morokweng,48656,Valid,LL6,750.0,Found,2004.0,-26.37247,23.52395,"(-26.372470, 23.523950)"
26169,Morradal,16748,Valid,"Iron, ungrouped",2750.0,Found,1892.0,62.0,7.66667,"(62.000000, 7.666670)"
26170,Morrill,16749,Valid,"Iron, IAB-an",1387.0,Found,1920.0,42.18333,-103.93333,"(42.183330, -103.933330)"
26171,Morristown,16750,Valid,Mesosiderite-A3,16300.0,Found,1887.0,36.2,-83.38333,"(36.200000, -83.383330)"
26173,Morro la Mina,16752,Valid,H5,1430.0,Found,1986.0,-24.24667,-68.85333,"(-24.246670, -68.853330)"
26174,Morrow County,51707,Valid,L6,18200.0,Found,1999.0,45.5,-119.5,"(45.500000, -119.500000)"
26175,Morton,16753,Valid,H6,6400.0,Found,1980.0,33.71667,-102.76667,"(33.716670, -102.766670)"
26176,Morven,16754,Valid,H4/5,7100.0,Found,1925.0,-44.81667,171.13333,"(-44.816670, 171.133330)"
26177,Mosca,16755,Valid,L6,6220.0,Found,1942.0,37.63333,-105.83333,"(37.633330, -105.833330)"
26178,Moshesh,16756,Valid,H,200000.0,Found,,-30.1,28.71667,"(-30.100000, 28.716670)"
26179,Mosquero,16757,Valid,H4,1800.0,Found,1963.0,35.75,-103.93333,"(35.750000, -103.933330)"
26180,Mossgiel,16758,Valid,L4,32383.0,Found,1967.0,-33.31667,144.78333,"(-33.316670, 144.783330)"
26181,Motpena (a),16760,Valid,L6,8810.0,Found,1968.0,-31.1,138.26667,"(-31.100000, 138.266670)"
26183,Mount Ayliff,16763,Valid,"Iron, IAB-MG",13600.0,Found,1907.0,-30.81667,29.35,"(-30.816670, 29.350000)"
26184,Mount Baldr A76001,16764,Valid,H6,4108.0,Found,1976.0,-77.58389,160.32639,"(-77.583890, 160.326390)"
26185,Mount Baldr A76002,16765,Valid,H6,13773.0,Found,1976.0,-77.58389,160.37361,"(-77.583890, 160.373610)"
26188,Mount DeWitt 03001,16768,Valid,LL6,725.2,Found,2004.0,-77.20919,159.76117,"(-77.209190, 159.761170)"
